Date,Close,High,Low,Open,DailyReturn,Target
1/1/99,1.1729,1.1729,1.1729,,,0.8118393234672349
1/4/99,1.1825,1.1885,1.174,1.1729,0.8118393234672349,-0.41610054347827163
1/5/99,1.1776,1.1835,1.1747,1.1825,-0.41610054347827163,-1.51724137931035
1/6/99,1.16,1.1775,1.1555,1.1776,-1.51724137931035,0.9647400324425925
1/7/99,1.1713,1.1735,1.161,1.16,0.9647400324425925,-1.0176800344976311
1/8/99,1.1595,1.1735,1.154,1.1713,-1.0176800344976311,-0.9050561308850374
1/11/99,1.1491,1.1605,1.1487,1.1595,-0.9050561308850374,0.5194355467059134
1/12/99,1.1551,1.1565,1.1445,1.1491,0.5194355467059134,0.8753110786921812
1/13/99,1.1653,1.179,1.155,1.1551,0.8753110786921812,0.47826458279956013
1/14/99,1.1709,1.1725,1.1615,1.1653,0.47826458279956013,-1.0267471958585006
1/15/99,1.159,1.175,1.1566,1.1709,-1.0267471958585006,0.12925463162430478
1/18/99,1.1605,1.162,1.156,1.159,0.12925463162430478,0.043066322136084835
1/19/99,1.161,1.164,1.1565,1.1605,0.043066322136084835,-0.4933783432874611
1/20/99,1.1553,1.1615,1.1542,1.161,-0.4933783432874611,0.4051724137930971
1/21/99,1.16,1.1612,1.1545,1.1553,0.4051724137930971,-0.11219470095795776
1/22/99,1.1587,1.1625,1.156,1.16,-0.11219470095795776,-0.2769363911726605
1/25/99,1.1555,1.161,1.1554,1.1587,-0.2769363911726605,0.051898624686440104
1/26/99,1.1561,1.159,1.155,1.1555,0.051898624686440104,-1.128411476557025
1/27/99,1.1432,1.1565,1.1403,1.1561,-1.128411476557025,-0.09631380789774109
1/28/99,1.1421,1.147,1.138,1.1432,-0.09631380789774109,-0.4750593824227896
1/29/99,1.1367,1.143,1.1346,1.1421,-0.4750593824227896,-0.48620933521924153
2/1/99,1.1312,1.139,1.1289,1.1367,-0.48620933521924153,0.3172365174480126
2/2/99,1.1348,1.1365,1.1285,1.1312,0.3172365174480126,-0.25620637865536927
2/3/99,1.1319,1.1356,1.13,1.1348,-0.25620637865536927,0.14115571239524002
2/4/99,1.1335,1.1345,1.125,1.1319,0.14115571239524002,-0.6213936972924896
2/5/99,1.1265,1.137,1.1254,1.1335,-0.6213936972924896,0.5298013245033117
2/8/99,1.1325,1.1327,1.122,1.1265,0.5298013245033117,-0.31889449906989525
2/9/99,1.1289,1.1345,1.1281,1.1325,-0.31889449906989525,0.49360951961216826
2/10/99,1.1345,1.136,1.127,1.1289,0.49360951961216826,-0.997062227365806
2/11/99,1.1233,1.1335,1.1222,1.1345,-0.997062227365806,0.41666666666666013
2/12/99,1.128,1.1287,1.1215,1.1233,0.41666666666666013,-0.4452359750667759
2/15/99,1.123,1.1305,1.1223,1.128,-0.4452359750667759,-0.2589054548700922
2/16/99,1.1201,1.1235,1.1164,1.123,-0.2589054548700922,0.3203702055708664
2/17/99,1.1237,1.1265,1.1205,1.1201,0.3203702055708664,-0.30349013657054785
2/18/99,1.1203,1.128,1.119,1.1237,-0.30349013657054785,-1.2654795263490928
2/19/99,1.1063,1.121,1.106,1.1203,-1.2654795263490928,-0.24465386009425036
2/22/99,1.1036,1.107,1.0965,1.1063,-0.24465386009425036,-0.28169014084505956
2/23/99,1.1005,1.107,1.0944,1.1036,-0.28169014084505956,-0.17294738758419922
2/24/99,1.0986,1.1045,1.0925,1.1005,-0.17294738758419922,0.5251720391162648
2/25/99,1.1044,1.1076,1.0985,1.0986,0.5251720391162648,-0.25417574437183516
2/26/99,1.1016,1.1045,1.0955,1.1044,-0.25417574437183516,-1.194194378100303
3/1/99,1.0886,1.102,1.0884,1.1016,-1.194194378100303,0.2930939732551833
3/2/99,1.0918,1.0938,1.086,1.0886,0.2930939732551833,-0.26632381302232755
3/3/99,1.0889,1.0945,1.0881,1.0918,-0.26632381302232755,-0.6377079482439839
3/4/99,1.082,1.088,1.0792,1.0889,-0.6377079482439839,0.05542213190466783
3/5/99,1.0826,1.0862,1.079,1.082,0.05542213190466783,0.5237526417348193
3/8/99,1.0883,1.092,1.08,1.0826,0.5237526417348193,0.055101478556335196
3/9/99,1.0889,1.092,1.086,1.0883,0.055101478556335196,0.5752373995617214
3/10/99,1.0952,1.0975,1.0875,1.0889,0.5752373995617214,0.7251631617113857
3/11/99,1.1032,1.1063,1.08,1.0952,0.7251631617113857,-1.1738811445341086
3/12/99,1.0904,1.104,1.0892,1.1032,-1.1738811445341086,0.3017280789978842
3/15/99,1.0937,1.0957,1.0885,1.0904,0.3017280789978842,0.5727272727272904
3/16/99,1.1,1.1007,1.0815,1.0937,0.5727272727272904,0.03635041802980334
3/17/99,1.1004,1.1044,1.094,1.1,0.03635041802980334,-0.30079299972655915
3/18/99,1.0971,1.1065,1.0965,1.1004,-0.30079299972655915,-0.7808194010655845
3/19/99,1.0886,1.11,1.0882,1.0971,-0.7808194010655845,0.2656894182317822
3/22/99,1.0915,1.0918,1.085,1.0886,0.2656894182317822,-0.04582951420714436
3/23/99,1.091,1.0926,1.0865,1.0915,-0.04582951420714436,-0.16525890561880496
3/24/99,1.0892,1.0964,1.0875,1.091,-0.16525890561880496,0.1283697047496853
3/25/99,1.0906,1.091,1.083,1.0892,0.1283697047496853,-1.2909817033528397
3/26/99,1.0767,1.0865,1.0714,1.0906,-1.2909817033528397,-0.2607319117236161
3/29/99,1.0739,1.079,1.068,1.0767,-0.2607319117236161,-0.20528132873005317
3/30/99,1.0717,1.0775,1.0698,1.0739,-0.20528132873005317,0.37185088779399494
3/31/99,1.0757,1.0824,1.069,1.0717,0.37185088779399494,0.2965983872462573
4/1/99,1.0789,1.082,1.0725,1.0757,0.2965983872462573,-0.06492301984788748
4/2/99,1.0782,1.0805,1.0765,1.0789,-0.06492301984788748,-0.6628699467836903
4/5/99,1.0711,1.0785,1.0702,1.0782,-0.6628699467836903,1.208264157904456
4/6/99,1.0842,1.0858,1.0705,1.0711,1.208264157904456,-0.631149062558023
4/7/99,1.0774,1.0845,1.0768,1.0842,-0.631149062558023,-0.27922561429634135
4/8/99,1.0744,1.088,1.0728,1.0774,-0.27922561429634135,0.5369376041473827
4/9/99,1.0802,1.0813,1.0725,1.0744,0.5369376041473827,0.19403122978841272
4/12/99,1.0823,1.0878,1.0815,1.0802,0.19403122978841272,-0.5014393165567901
4/13/99,1.0769,1.083,1.0745,1.0823,-0.5014393165567901,0.259331295730308
4/14/99,1.0797,1.082,1.0765,1.0769,0.259331295730308,-0.8782584322152738
4/15/99,1.0703,1.0815,1.0691,1.0797,-0.8782584322152738,-0.028037383177567002
4/16/99,1.07,1.0717,1.063,1.0703,-0.028037383177567002,-0.6301137966707562
4/19/99,1.0633,1.07,1.0594,1.07,-0.6301137966707562,-0.056459960478021445
4/20/99,1.0627,1.0685,1.0611,1.0633,-0.056459960478021445,-0.07533666070250607
4/21/99,1.0619,1.0635,1.0575,1.0627,-0.07533666070250607,-0.028259231348904193
4/22/99,1.0616,1.066,1.0561,1.0619,-0.028259231348904193,-0.037693177534882966
4/23/99,1.0612,1.0685,1.0596,1.0616,-0.037693177534882966,-0.24560740600792896
4/26/99,1.0586,1.063,1.0579,1.0612,-0.24560740600792896,0.7407407407407424
4/27/99,1.0665,1.0668,1.058,1.0586,0.7407407407407424,-0.39536853996046145
4/28/99,1.0623,1.0695,1.0606,1.0665,-0.39536853996046145,-0.30214332924181775
4/29/99,1.0591,1.064,1.057,1.0623,-0.30214332924181775,-0.06613756613755885
4/30/99,1.0584,1.0635,1.0549,1.0591,-0.06613756613755885,-0.06618133686299733
5/3/99,1.0577,1.0605,1.0553,1.0584,-0.06618133686299733,0.5266622778143354
5/4/99,1.0633,1.0635,1.056,1.0577,0.5266622778143354,1.0331347728965106
5/5/99,1.0744,1.0773,1.0615,1.0633,1.0331347728965106,0.656495607951908
5/6/99,1.0815,1.0825,1.0735,1.0744,0.656495607951908,-0.6046511627906931
5/7/99,1.075,1.0814,1.0743,1.0815,-0.6046511627906931,0.4629629629629736
5/10/99,1.08,1.0836,1.071,1.075,0.4629629629629736,-0.7932804479701516
5/11/99,1.0715,1.0805,1.0705,1.08,-0.7932804479701516,-0.6197765048361291
5/12/99,1.0649,1.0747,1.064,1.0715,-0.6197765048361291,0.15938496156010076
5/13/99,1.0666,1.0675,1.0605,1.0649,0.15938496156010076,-0.13143071723620614
5/14/99,1.0652,1.0741,1.0649,1.0666,-0.13143071723620614,0.15934014434342814
5/17/99,1.0669,1.0688,1.064,1.0652,0.15934014434342814,0.15908665543702366
5/18/99,1.0686,1.0709,1.0656,1.0669,0.15908665543702366,-0.25330706445256823
5/19/99,1.0659,1.0685,1.0623,1.0686,-0.25330706445256823,-0.26338067914590685
5/20/99,1.0631,1.0707,1.0615,1.0659,-0.26338067914590685,-0.4915398430853456
5/21/99,1.0579,1.062,1.0546,1.0631,-0.4915398430853456,0.12273413897279616
5/24/99,1.0592,1.0608,1.055,1.0579,0.12273413897279616,0.009440196356083168
5/25/99,1.0593,1.0641,1.0565,1.0592,0.009440196356083168,-1.1941153993121854
